date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:55	124/124	---MCZ	200	added ('OK')	text/plain	etag:W/%225d89e14d-7c%22	https://getbootstrap.com/robots.txt		(from )
16:44:55	22132/22132	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-5674%22	https://getbootstrap.com/	getbootstrap.com/index.html	(from )
16:44:57	22157/22157	---MCZ	200	added ('OK')	text/css	etag:W/%225d89e14d-568d%22	https://getbootstrap.com/docs/4.3/assets/css/docs.min.css	getbootstrap.com/docs/4.3/assets/css/docs.min.css	(from https://getbootstrap.com/)
16:44:57	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%225d89e14d-2606e%22	https://getbootstrap.com/docs/4.3/dist/css/bootstrap.min.css	getbootstrap.com/docs/4.3/dist/css/bootstrap.min.css	(from https://getbootstrap.com/)
16:44:57	1738/1738	---M--	200	added ('OK')	image/png	etag:%225d89e14d-6ca%22	https://getbootstrap.com/docs/4.3/assets/img/favicons/apple-touch-icon.png	getbootstrap.com/docs/4.3/assets/img/favicons/apple-touch-icon.png	(from https://getbootstrap.com/)
16:44:58	491/491	---M--	200	added ('OK')	image/png	etag:%225d89e14d-1eb%22	https://getbootstrap.com/docs/4.3/assets/img/favicons/favicon-32x32.png	getbootstrap.com/docs/4.3/assets/img/favicons/favicon-32x32.png	(from https://getbootstrap.com/)
16:44:59	310/310	---M--	200	added ('OK')	image/png	etag:%225d89e14d-136%22	https://getbootstrap.com/docs/4.3/assets/img/favicons/favicon-16x16.png	getbootstrap.com/docs/4.3/assets/img/favicons/favicon-16x16.png	(from https://getbootstrap.com/)
16:45:01	472/472	---MCZ	200	added ('OK')	application/json	etag:W/%225d89e14d-1d8%22	https://getbootstrap.com/docs/4.3/assets/img/favicons/manifest.json	getbootstrap.com/docs/4.3/assets/img/favicons/manifest.json	(from https://getbootstrap.com/)
16:45:02	1333/1333	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d89e14d-535%22	https://getbootstrap.com/docs/4.3/assets/img/favicons/safari-pinned-tab.svg	getbootstrap.com/docs/4.3/assets/img/favicons/safari-pinned-tab.svg	(from https://getbootstrap.com/)
16:45:03	5430/5430	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%225d89e14d-1536%22	https://getbootstrap.com/docs/4.3/assets/img/favicons/favicon.ico	getbootstrap.com/docs/4.3/assets/img/favicons/favicon.ico	(from https://getbootstrap.com/)
